Order Title, Issued Date, Termination Date, Respondent, CMP Amount, NMLS ID, Restitution Amount, Restitution Comment, Bank Name, Bank City, Bank State, Cert Number, Category, Action Type, Docket Number, File Name, File URL
DECISION AND ORDER TO CEASE AND DESIST,1975-06-11,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-74-1,5001.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z491AAC?operationContext=S1
FINAL OPINION AND ORDER,1980-07-14,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,No Docket Number,5003.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5lIAAS?operationContext=S1
DECISION AND ORDER,1981-06-02,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,No Docket Number,5008.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5lMAAS?operationContext=S1
DECISION AND ORDER TO CEASE AND DESIST,1982-05-28,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-81-27b,5010.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z65CAAS?operationContext=S1
DECISION AND ORDER,1984-04-09,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-83-79b,5023.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5NSAA0?operationContext=S1
DECISION AND ORDER TO CEASE AND DESIST,1984-06-18,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-83-132b,5024.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5NTAA0?operationContext=S1
DECISION AND ORDER TO CEASE AND DESIST,1984-08-20,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-83-223b,5028.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5PYAA0?operationContext=S1
DECISION AND ORDER DENYING MOTION FOR STAY OF ORDER TO CEASE AND DESIST,1984-10-19,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-83-172b,5030.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5Q4AAK?operationContext=S1
DECISION AND ORDER TO CEASE AND DESIST,1985-05-06,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-83-254b,5044.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5fDAAS?operationContext=S1
DECISION AND ORDER,1985-05-28,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-84-71b,5046.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5fKAAS?operationContext=S1
