Country Name,Country Code,Time,Time Code,Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Real interest rate (%) [FR.INR.RINR],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"
United States,USA,1960,YR1960,..,180671000,2999.86487154495,541988586206.897,..,..,..,1.45797598627791,5.5
United States,USA,1961,YR1961,1.65773003738953,183691000,3059.16082086127,561940310344.828,2.29999999999977,0.618121192654826,3.10788487484445,1.07072414764724,6.7
United States,USA,1962,YR1962,1.53799735825387,186538000,3236.01311150062,603639413793.103,6.10000000000011,4.48066935423357,3.215345975872,1.19877334820186,5.5
United States,USA,1963,YR1963,1.43916476170683,189242000,3366.36978960346,637058551724.138,4.39999999999982,2.90827194808745,3.37488224240501,1.23966942148753,5.7
United States,USA,1964,YR1964,1.38904605518369,191889000,3565.31443016356,684144620689.655,5.8000000000003,4.34054896320298,2.95166899970868,1.27891156462591,5.2
United States,USA,1965,YR1965,1.25017164562845,194303000,3818.28825117968,741904862068.965,6.39999999999981,5.07809761043299,2.56591312626046,1.58516926383662,4.5
United States,USA,1966,YR1966,1.1548931907552,196560000,4136.30829579106,813032758620.69,6.50000000000021,5.27711385836407,2.64942062883444,3.0150753768844,3.8
United States,USA,1967,YR1967,1.08888120728762,198712000,4325.95935063186,859620034482.759,2.49999999999999,1.38995128628365,2.40622703183627,2.77278562259309,3.8
United States,USA,1968,YR1968,0.998461043585335,200706000,4684.58840293763,940225000000,4.7999999999997,3.75881936763196,1.86391124668411,4.27179615288537,3.6
United States,USA,1969,YR1969,0.977242811872469,202677000,5019.99818634473,1017438172413.79,3.09999999999999,2.09736970647879,2.85177336421904,5.46238620028745,3.5
United States,USA,1970,YR1970,1.16500266687286,205052000,5234.2966662115,1073303000000,0.216606498194878,-0.944145118142501,2.51491820767599,5.83825533848251,4.9
United States,USA,1971,YR1971,1.26433369185094,207661000,5609.38259952519,1164850000000,3.29272245005524,1.99497895044678,0.621992022659649,4.29276668813051,5.9
United States,USA,1972,YR1972,1.07052275237269,209896000,6094.01798986165,1279110000000,5.25550195781351,4.13472763683687,0.883965225131784,3.27227824655283,5.6
United States,USA,1973,YR1973,0.954476728552297,211909000,6726.35895596695,1425376000000,5.64567976314829,4.64211335793088,2.4096938447822,6.17776006377038,4.9
United States,USA,1974,YR1974,0.913660196067714,213854000,7225.69135952566,1545243000000,-0.540550192633191,-1.44513289800848,1.65106596056711,11.0548048048048,5.6
United States,USA,1975,YR1975,0.985986067347125,215973000,7801.45666356443,1684904000000,-0.205619191121627,-1.18474293776595,-1.28158053903036,9.14314686496535,8.5
United States,USA,1976,YR1976,0.950220048994522,218035000,8592.25353727612,1873412000000,5.38803391770217,4.39135849431463,1.26679040234448,5.74481263549085,7.7
United States,USA,1977,YR1977,1.00577199618134,220239000,9452.57651914511,2081826000000,4.62418650601657,3.57717981301823,0.575101000374774,6.5016839947284,7.1
United States,USA,1978,YR1978,1.0595730803427,222585000,10564.9482220275,2351599000000,5.53520648243719,4.42288716888149,1.88980821589415,7.63096383885606,6.1
United States,USA,1979,YR1979,1.10357656509899,225055000,11674.1818666548,2627333000000,3.16598821816159,2.03373169909354,4.03438927792717,11.2544711292795,5.8
United States,USA,1980,YR1980,0.959589922764484,227225000,12574.7915062163,2857307000000,-0.256775731395592,-1.20932407186373,5.71636286472598,13.5492019749684,7.1
United States,USA,1981,YR1981,0.981415437259678,229466000,13976.10539252,3207041000000,2.53770126828974,1.53630241816711,8.5946006933796,10.3347153402771,7.6
United States,USA,1982,YR1982,0.953317566163514,231664000,14433.787727053,3343789000000,-1.80301378934359,-2.73469491239689,8.17720821048295,6.13142700027493,9.7
United States,USA,1983,YR1983,0.914378513375149,233792000,15543.8937174925,3634038000000,4.58379098362749,3.631858038047,6.61803546660784,3.21243523316065,9.6
United States,USA,1984,YR1984,0.865817336309961,235825000,17121.2254849995,4037613000000,7.23645316474058,6.31198922205458,8.14090660797679,4.30053547523429,7.5
United States,USA,1985,YR1985,0.886129040850881,237924000,18236.8277265009,4338979000000,4.16957534699196,3.25057626050496,6.56324383385124,3.54564415209365,7.2
United States,USA,1986,YR1986,0.924164157058979,240133000,19071.2271949295,4579631000000,3.46265505694664,2.51089496974166,6.1938695909416,1.89804772234276,7
United States,USA,1987,YR1987,0.893829201032046,242289000,20038.9410992658,4855215000000,3.45462966856461,2.53404234695518,5.58752028752393,3.6645632175169,6.2
United States,USA,1988,YR1988,0.907999040167679,244499000,21417.0119305191,5236438000000,4.1769823865164,3.23533791731938,5.59030222565257,4.07774110744413,5.5
United States,USA,1989,YR1989,0.944405555428529,246819000,22857.1544330056,5641580000000,3.67223784383981,2.6977602234066,6.69026467457874,4.82700303008944,5.3
United States,USA,1990,YR1990,1.12965052045579,249623000,23888.6000088133,5963144000000,1.88596558187626,0.741486717782863,6.03974984988313,5.39795643990325,5.6
United States,USA,1991,YR1991,1.33626074073779,252981000,24342.2589048189,6158129000000,-0.108312882368935,-1.43424757841728,4.91529596812901,4.23496396453849,6.8
United States,USA,1992,YR1992,1.38688569247935,256514000,25418.9907763319,6520327000000,3.52249717301392,2.09666863144402,3.88429488654255,3.02881967814969,7.5
United States,USA,1993,YR1993,1.31867999977741,259919000,26387.2937338171,6858559000000,2.75179586709815,1.40572318704217,3.54563216911484,2.95165696638559,6.9
United States,USA,1994,YR1994,1.2262960888682,263126000,27694.853416234,7287236000000,4.02902272983438,2.76110897028734,4.89854133884219,2.60744159215453,6.119
