Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"1st National Bank","8709","","","Lebanon, OH","FA","Formal Agreement","0.00","07/25/2024","AA-CE-2024-27","02/23/2026","","AA-CE-2024-27","Board / Management Oversight; Capital; Earnings; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"42 North Private Bank","713964","","","Canton, MA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","01/30/2025","AA-ENF-2024-110","","","AA-ENF-2024-110","Board / Management Oversight; Capital; Earnings; Liquidity; Noncompliance with Enforcement Action; Sensitivity to Market Risk; Strategic Planning"
"A J Smith Federal Savings Bank","700358","","","Midlothian, IL","FA","Formal Agreement","0.00","03/08/2012","2012-166","09/19/2013","2013-151","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"Abacus Federal Savings Bank","708059","","","New York, NY","FA","Formal Agreement","0.00","04/28/2014","2014-077","02/16/2017","2017-024","","Board / Management Oversight; Earnings; Strategic Planning"
"Acacia Federal Savings Bank","708070","","","Falls Church, VA","FA","Formal Agreement","0.00","12/19/2012","2012-274","10/31/2013","","AA-NEDO-2013-2","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Credit/Collateral Exceptions; Earnings; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"Admirals Bank","713964","","","Boston, MA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/30/2017","2017-027","01/30/2025","AA-ENF-2024-108","OCC-AA-EC-2016-93","Affiliate Transactions (incl. Reg W); Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Expense Abuse; General IT Controls; Inaccurate / Incomplete / False Books and Records; Information Technology; Insider Issues; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Strategic Planning; Third Party Risk Management"
"Advance Bank","706824","","","Baltimore, MD","FA","Formal Agreement","0.00","02/21/2013","2013-032","03/31/2014","","","Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Alabama Trust Bank, National Association","23896","","","Sylacauga, AL","PCAD","Prompt Corrective Action (PCA) Directive","0.00","04/12/2012","2012-103","05/18/2012","","AA-EC-12-44","Capital; Prompt Corrective Action"
"American Investors Bank and Mortgage","717958","","","Eden Prairie, MN","FA","Formal Agreement","0.00","04/17/2017","2017-037","09/06/2018","2018-075","","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Lending Issues; Liquidity; Other Lending Deficiencies; Strategic Planning"
"Amory FS & LA","702674","","","Amory, MS","FA","Formal Agreement","0.00","03/22/2021","2021-016","08/15/2022","2022-034","AA-SO-2021-2","Audit; Board / Management Oversight; Earnings; Internal Audit; Sensitivity to Market Risk; Strategic Planning"
"Anthem Bank & Trust","703874","","","Plaquemine, LA","FA","Formal Agreement","0.00","08/05/2015","2015-098","05/24/2017","2017-058","","Allowance for Losses (ALLL / ACL); Board / Management Oversight; Capital; Concentration Risk Management; Earnings; Lending Issues; Strategic Planning"
"Atlantic Coast Bank","717022","","","Jacksonville, FL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/10/2012","2012-184","03/26/2015","2015-030","AA-EC-12-104","Asset Quality; Capital; Concentration Risk Management; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Atlas Bank","705910","","","Brooklyn, NY","FA","Formal Agreement","0.00","03/15/2012","2012-074","06/30/2014","","","Asset Quality; Audit; Board / Management Oversight; BSA Internal Controls; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Internal Audit; Lending Issues; OFAC Compliance Issue; SAR/CTR Monitoring/Filing Issue"
"Auburn Savings Bank, FSB","701305","","","Auburn, ME","FA","Formal Agreement","0.00","02/28/2012","2012-070","12/09/2015","2015-144","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Compensation; Credit/Collateral Exceptions; Earnings; Insider Issues; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"B2 Bank National Association","11622","","","Mt. Iron, MN","FA","Formal Agreement","0.00","11/14/2023","2023-036","09/18/2025","AA-CE-2025-48","AA-CE-2023-36","Board / Management Oversight; BSA Officer; BSA Risk Assessment; BSA Training; BSA/AML; Capital; Concentration Risk Management; Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Strategic Planning"
"Banccentral, National Association","12152","","","Alva, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/09/2021","2021-051","06/20/2025","","AA-SO-2021-40","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Insider Issues; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Bank 360","705919","","","Beresford, SD","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","02/13/2012","2012-022","01/19/2013","","AA-WE-12-23","Asset Quality; Capital; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Lending Issues; Liquidity; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Bank of Brenham, National Association","24153","","","Brenham, TX","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/21/2024","AA-SO-2023-56","07/01/2025","","AA-SO-2023-56","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Appraisals; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Overdrafts; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Bank of Manhattan, National Association","24754","","","El Segundo, CA","FA","Formal Agreement","0.00","11/20/2014","2014-146","06/26/2015","","","Allowance for Losses (ALLL / ACL); Board / Management Oversight; Capital; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Lending Issues; Other Lending Deficiencies; Strategic Planning"
"Bank of Maumee","718042","","","Maumee, OH","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/03/2012","2012-231","09/05/2018","2018-077","AA-EC-12-118","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"Bank of St. Augustine","714007","","","St. Augustine, FL","FA","Formal Agreement","0.00","03/22/2012","2012-097","08/28/2013","","","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Other Lending Deficiencies; Problem Loan Identification"
"Bank of The Lakes, National Association","23235","","","Owasso, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","02/27/2013","2013-011","03/07/2014","","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Earnings; Inaccurate / Incomplete / False Books and Records; Lending Issues; OREO; Other Lending Deficiencies; Strategic Planning"
"Bank of The Rockies, National Association","3375","","","White Sulphur Springs, MT","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/30/2012","2012-215","07/01/2015","2015-087","AA-WE-12-102","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Lending Issues; Liquidity; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification"
"Beacon Business Bank, National Association","18358","","","San Francisco, CA","FA","Formal Agreement","0.00","12/31/2018","2018-104","02/12/2024","AA-WE-2023-76","AA-WE-2018-67","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Beacon Federal","715220","","","East Syracuse, NY","FA","Formal Agreement","0.00","07/12/2012","2012-169","10/19/2012","","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Ben Franklin Bank of Illinois","715152","","","Arlington Heights, IL","FA","Formal Agreement","0.00","02/05/2019","2019-005","09/30/2020","","AA-EC-2019-4","Board / Management Oversight; Capital; Enterprise Governance / Internal Controls / General Risk Management; Strategic Planning"
"Ben Franklin Bank of Illinois","715152","","","Arlington Heights, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/25/2015","2015-122","02/05/2019","2019-007","AA-CE-2015-69","Capital; Strategic Planning"
