feature,gee_exchangeable,gee_independence,lasso,lgbm,logit,rf,xgb,mean_importance
capital_ratio,1.0,1.0,0.8448298874026867,0.4713582439327217,1.0,1.0,0.7226485285868077,0.8626909514174594
gdp,0.37050333762887805,0.3776071794997211,0.296290988383719,1.0,0.6066376008121991,0.4093496978119798,0.7301398134347501,0.5415040882244638
age,0.23113201936432348,0.24769479660846644,0.8502200676563099,0.5964245914340672,0.5090741954154548,0.22463766418522058,0.5576353731811635,0.45954552969214374
npl_ratio,0.1316889727632794,0.1407559075028733,0.22498652412847361,0.5909981209041134,0.37637279961036313,0.600639595769532,1.0,0.4379202743826621
num_employees,0.14826243732282965,0.19115988584140411,0.796867706630738,0.6345565016831837,0.38338387569530286,0.06019421153260088,0.6423407550453656,0.40810933910734637
asset_growth,0.3351019927023616,0.3579006855094538,1.0,0.10427816024777944,0.5300902295308044,0.2585197466037742,0.1346478027795775,0.38864837391053586
roa,0.003767650329636432,0.005762278958403392,0.32619160169788514,0.5724025859774694,0.13765020712182435,0.8326062647389451,0.7475840001991442,0.3751377984319011
roe,0.13676605286687363,0.15473539844001769,0.08086612975333085,0.22578377370821467,0.23478786945702346,0.6447963615793181,0.7405702306059593,0.31690083091581966
prop_ln_cons,0.1493159963946966,0.1413748902071591,0.46134763455655425,0.40623411165343354,0.25204111958962855,0.14732995678911268,0.35227991792641733,0.272846232445286
prop_demand_dep,0.2432302744245341,0.23293175046353656,0.4589035914086664,0.2076100297854274,0.30944167711005616,0.1106076338225644,0.19819723430504696,0.2515603130456902
equity_sd_intra,0.15567942554581354,0.16835884761108216,0.12299413199550366,0.8396315157369793,0.21158135504518727,0.027933120182786746,0.2258956123728231,0.250296286927168
prop_ln_agr,0.107035039428394,0.132368849136848,0.556407706013078,0.19979216505513075,0.3203123608928665,0.05484531448022071,0.1510949819729015,0.21740805956849135
loan_growth,0.1117429239328423,0.1077887363867944,0.5448204638872165,0.10856508894908794,0.23870717792777307,0.17123766686432848,0.09777755145336572,0.1972342299144869
roe_chg,0.012596564299774732,0.016494241611748933,0.8285856385038975,0.1074542030574361,0.0483065419559097,0.1438814574539238,0.2190813460201597,0.19662857041469292
assets_sd_3y,0.0761990518243698,0.08839089196905954,0.6201703009831184,0.21212735982006659,0.10041741579512233,0.04976686632142557,0.20270969362349978,0.19282594004809456
roa_sd_3y,0.05982666016229361,0.06525172623451568,0.04476115037391646,0.3063291245531103,0.20584730795860093,0.25866190865174304,0.382539545004955,0.1890310604198764
unemployment,0.0992454957929008,0.11093273458450423,0.4544735469470662,0.1105057185462728,0.26312909785413996,0.03561227667006908,0.08802212822445463,0.1659887140884868
real_int_rate,0.04824868600305492,0.0414299689600842,0.48260238420816265,0.27199443296809694,0.01465625016707175,0.054813709715467555,0.24597187758280095,0.16567390137210558
nim,0.023905712545794707,0.05246945963918368,0.2594561684714242,0.2722829012533349,0.11035747085937421,0.10315085960618202,0.2406344578039675,0.15175100431132302
equity_max_decline,0.05054229686150902,0.049020566152380915,0.4365494251319139,0.1342303900926931,0.07597031848318567,0.10185246185640705,0.15023698040894923,0.14262891985529128
prop_ln_re,0.07094370414251314,0.07404669790624777,0.32568717674267894,0.07084619983218145,0.24034973928256162,0.05434963185114374,0.11392513669821608,0.13573546949364898
netinc_sd_3y,0.015684160904230877,0.01975848015301887,0.5506192105110642,0.09010793641645615,0.10309744749577456,0.08724290303953669,0.060163690793194696,0.13238197561618228
nim_chg,0.14289010940774058,0.15881607368319853,0.17002334188616205,0.07566036436431811,0.19422920391200466,0.061569591736220924,0.10139940692365992,0.12922687027332924
assets_sd_intra,0.04026135575531585,0.029716912829351662,0.5828237232067242,0.08177932801872173,0.04569649101388595,0.023476688811952123,0.08915198835836156,0.1275580697134733
roa_chg,0.036731249335363314,0.045004358697586636,0.44371745303900684,0.11659507919971746,0.104495087952392,0.06434690089240828,0.0779141136355457,0.12697203467886004
deposits_sd_3y,0.030032531738822442,0.020589322712460816,0.5300954512780449,0.06432507070208243,0.07052731855843512,0.028715025450927703,0.1276794110980289,0.1245663045055432
capital_ratio_chg,0.09846415318091835,0.10807086842662113,0.09401686654873995,0.08926433339009221,0.2840485917487895,0.08827165979152762,0.10552113749000581,0.12395108722524208
inflation,0.025619380103633446,0.03624124739782866,0.39070915332530454,0.06093947661661466,0.09361095577482964,0.03891693187992333,0.06336268396604303,0.1013428327234539
loans_sd_3y,0.019801437277950962,0.035965033612594,0.07205201351147361,0.20734887272442623,0.08007846230643187,0.024836103246865845,0.24427239002009865,0.09776490181426302
equity_sd_3y,0.026708273351292538,0.033523550576961506,0.22434616816997144,0.09590793427087023,0.06959645018806311,0.12371153999618213,0.08254752254155234,0.09376306272784192
loans_sd_intra,0.09608803298996024,0.11444750711521261,0.023199621619089967,0.1337231947809821,0.16168815262746886,0.02711632843937682,0.08440923863164632,0.09152458231481955
deposits_sd_intra,0.05787505449925775,0.05720688861787435,0.1782003673203586,0.1339136475696245,0.045432539446213394,0.10311729608724263,0.06439052358410732,0.0914480453035255
assets_max_decline,0.04898683637191026,0.05270721366918043,0.15998823610819365,0.09039339297055651,0.12873058317694688,0.04002342149551783,0.08008451920277526,0.0858448861421544
equity_growth,0.01605563191621736,0.02278935497185728,0.10924090546339228,0.12226912560429666,0.08948573751469019,0.09519170183257138,0.12292165175438778,0.08256487272248755
loans_max_decline,0.031869016887416016,0.03226658187991237,0.19562329703886422,0.09309529315446347,0.04682695304969936,0.05117505558029215,0.07842009231004164,0.07561089855724132
deposit_growth,0.0484261171509068,0.05297286371884516,0.035354601611457606,0.08939082956706576,0.006114063245560234,0.08624292068382694,0.13200791534392542,0.06435847304594113
deposits_max_decline,0.013321531898031284,0.006670588606414105,0.043539211070759726,0.07503153041555954,0.023548313270933985,0.03794716578672758,0.09028031262449006,0.04147695052470233
