feature,gee_exchangeable,gee_independence,lasso,lgbm,logit,rf,xgb,mean_importance
roa,0.6971536336733481,0.6173973281689644,1.0,1.0,1.0,1.0,1.0,0.9020787088346162
capital_ratio,1.0,1.0,0.9540699686957149,0.6680180307487523,0.9508987941314787,0.5027666078792903,0.7830826228138648,0.8369765748955859
gdp,0.7498218613255704,0.6899031882281109,0.7450792213767355,0.7159741055350519,0.7431443111192965,0.5729676921359165,0.7793565035869369,0.7137495547582312
roa_sd_3y,0.4995956573275764,0.5750120961348091,0.8953695681430948,0.5923265321851002,0.8941211000746108,0.6583756309806212,0.7375713064677352,0.6931959844733638
cost_of_funding,0.9187445396075096,0.8451625756187348,0.6068593401545296,0.5630899250300728,0.6099609207671831,0.19711820529512938,0.47747584804198673,0.6026301935021637
roe_chg,0.5514908488194089,0.5336493593451236,0.3239641474076551,0.33737914236366134,0.3219314919026249,0.26303108956094823,0.3736868795701419,0.3864475655670806
equity_sd_intra,0.38275158661195735,0.3484797414257197,0.12342817588428227,0.5198836758756715,0.11925875333182595,0.07619627188785504,0.47946130980983453,0.2927799306895923
roe,0.35805632998806,0.2898542044662243,0.1791255836745245,0.42839201199950244,0.17729661944586345,0.2457259160468034,0.2836728790983083,0.2803033635313266
npl_chg,0.36495533374044214,0.35929502649696865,0.351899584043134,0.2152388269179059,0.35207289175163975,0.11202809391246324,0.20557834802391306,0.2801525864123524
asset_growth,0.35919184019783623,0.35659499442569637,0.35703397838089707,0.10757477403165991,0.3531717659975748,0.08257048934908683,0.1241701707641043,0.24861543044955078
num_employees,0.05435209295422373,0.051988054861590575,0.09001388617940234,0.6305321763922906,0.09284197636617339,0.225742739493693,0.5376852058010994,0.2404508760069247
capital_ratio_chg,0.37196472724286167,0.3600834605183715,0.27827485014821984,0.15285352694187548,0.2752015966226312,0.09960171118952255,0.12267507205676528,0.2372364206743211
age,0.1484205342891267,0.17154311111153117,0.3200470193932632,0.21625881846557318,0.32032067416416576,0.17498166893222095,0.19214800294136591,0.22053140418532097
prop_ln_re,0.13342568764036286,0.13662340620250774,0.32680168637642243,0.15789174498946987,0.3277576834712596,0.20142242473663555,0.1872849961886536,0.21017251851504454
equity_sd_3y,0.29013718923353743,0.27947459421618215,0.19262894778591313,0.16582662840103013,0.1910315599295902,0.07550367824363648,0.209501335413805,0.20058627617481348
prop_ln_cc,0.34003436944670434,0.3333871256522979,0.29056988337898354,0.03834676576261847,0.2907126631300564,0.03803900598856926,0.05819458878347907,0.1984692003061013
prop_demand_dep,0.0854584784146723,0.07744287222534806,0.14918589348644273,0.4057160958264647,0.14882170892999605,0.1799518184569099,0.25334816816935124,0.18570357650131214
inflation,0.26607968532286896,0.27214384971197975,0.19732699482087374,0.10461702559976403,0.19556427711616636,0.07834457063616856,0.11426134992298714,0.1754768218758298
equity_max_decline,0.16917468708560315,0.19201652399943886,0.17231766496767598,0.16659794458224145,0.17111255987979407,0.1165382315006285,0.1705749963073746,0.16547608690325094
unemployment,0.08114536856610481,0.06735561558808319,0.0516290626185055,0.381817318151133,0.05178133635193317,0.12979033190735376,0.33449756319894164,0.15685951376886503
deposit_growth,0.19713581108034808,0.18613910421109772,0.1725479948176011,0.09224469938135599,0.17281074750437786,0.10356052125201679,0.10959672850976634,0.14771937239379485
real_int_rate,0.08183361698357955,0.05539157891117871,0.23049192729922652,0.18445961078244516,0.2233000215160448,0.04985668161769943,0.11631025122519864,0.13452052690505326
prop_ln_ci,0.13661173130203397,0.11760262598056222,0.19604861584984484,0.07242277125318268,0.1975716396901552,0.10247248219126297,0.0734461757832892,0.128025148864333
roa_chg,0.03575543003461236,0.048604564127501686,0.1843604639999072,0.12590692435449777,0.17987756388294987,0.15552241010624668,0.15158712582696063,0.12594492604752516
prop_ln_cons,0.09277387709848219,0.08356508571795178,0.06495231965536269,0.08874789023208264,0.06582422945926236,0.13710611983752716,0.0978748319747721,0.09012062199649155
npl_ratio,0.03923997960406845,0.02836240996156194,0.02958748455450387,0.07268767886501927,0.027603727619064305,0.08122990281142473,0.05401094963710127,0.04753173329324912
