model,label,feature,coef,effect_type
mundlak,crisis,roa,-0.09698609832493105,within
mundlak,crisis,npl_ratio,0.262243032892509,within
mundlak,crisis,roa_sd_3y,0.12844741608100058,within
mundlak,crisis,capital_ratio,-0.8551496007780598,within
mundlak,crisis,roe,-0.1444445265070435,within
mundlak,crisis,asset_growth,-0.30485895114651596,within
mundlak,crisis,netinc_sd_3y,0.029379124375936587,within
mundlak,crisis,loan_growth,-0.24639618542668998,within
mundlak,crisis,equity_max_decline,-0.036958442882899255,within
mundlak,crisis,equity_growth,-0.026189315542692788,within
mundlak,crisis,deposit_growth,-0.013719589730750782,within
mundlak,crisis,loans_max_decline,-0.05579381736360072,within
mundlak,crisis,assets_max_decline,-0.12029326330130222,within
mundlak,crisis,capital_ratio_chg,-0.09502499976284852,within
mundlak,crisis,equity_sd_intra,0.133970693023469,within
mundlak,crisis,deposits_max_decline,0.007446910520724145,within
mundlak,crisis,age,-0.14379587026272256,within
mundlak,crisis,real_int_rate,-0.08249163078504178,within
mundlak,crisis,equity_sd_3y,0.027424549903420862,within
mundlak,crisis,nim,-0.10647228324289883,within
mundlak,crisis,gdp,0.8018937635625496,within
mundlak,crisis,loans_sd_intra,0.1372141654912265,within
mundlak,crisis,prop_ln_cons,-0.06232857590236504,within
mundlak,crisis,prop_ln_re,0.005913863123138682,within
mundlak,crisis,assets_sd_intra,-0.06042676573112813,within
mundlak,crisis,deposits_sd_intra,0.07868737954048535,within
mundlak,crisis,prop_ln_agr,-0.08827305309428288,within
mundlak,crisis,loans_sd_3y,0.059212210043936356,within
mundlak,crisis,inflation,-0.020507797874762822,within
mundlak,crisis,unemployment,0.15227850849502858,within
mundlak,crisis,roa_chg,0.06593157539862067,within
mundlak,crisis,prop_demand_dep,-0.472882680400431,within
mundlak,crisis,roe_chg,-0.03917954266338765,within
mundlak,crisis,nim_chg,-0.05428306148806008,within
mundlak,crisis,assets_sd_3y,-0.14533450858301392,within
mundlak,crisis,deposits_sd_3y,-0.06339193422245477,within
mundlak,crisis,num_employees,-0.2339379775564912,within
mundlak,crisis,roa_bankmean,-0.07009049325026426,between
mundlak,crisis,npl_ratio_bankmean,0.2744708712009124,between
mundlak,crisis,roa_sd_3y_bankmean,0.2247760459953034,between
mundlak,crisis,capital_ratio_bankmean,0.08419514283100613,between
mundlak,crisis,roe_bankmean,-0.12913438697506618,between
mundlak,crisis,asset_growth_bankmean,-0.15025092365546716,between
mundlak,crisis,netinc_sd_3y_bankmean,0.20492478201631523,between
mundlak,crisis,loan_growth_bankmean,0.08515789896575647,between
mundlak,crisis,equity_max_decline_bankmean,-0.03997243277742633,between
mundlak,crisis,equity_growth_bankmean,0.14489813098522164,between
mundlak,crisis,deposit_growth_bankmean,-0.0358106161711064,between
mundlak,crisis,loans_max_decline_bankmean,0.01885825284408558,between
mundlak,crisis,assets_max_decline_bankmean,-0.027105065858183227,between
mundlak,crisis,capital_ratio_chg_bankmean,-0.17724408009984122,between
mundlak,crisis,equity_sd_intra_bankmean,0.1638901943471372,between
mundlak,crisis,deposits_max_decline_bankmean,0.08752265611699603,between
mundlak,crisis,age_bankmean,-0.2642022855149237,between
mundlak,crisis,real_int_rate_bankmean,0.41278044238460043,between
mundlak,crisis,equity_sd_3y_bankmean,0.01877094694129293,between
mundlak,crisis,nim_bankmean,0.30032023573546746,between
mundlak,crisis,gdp_bankmean,0.35053343380251206,between
mundlak,crisis,loans_sd_intra_bankmean,0.07863247207383067,between
mundlak,crisis,prop_ln_cons_bankmean,-0.06693991497802061,between
mundlak,crisis,prop_ln_re_bankmean,-0.023953216826151764,between
mundlak,crisis,assets_sd_intra_bankmean,-0.016144013999544005,between
