label,group,n_dropped,baseline_pr_auc,ablated_pr_auc,delta_pr_auc
crisis,profitability,2,0.18960424978075274,0.21456018527765117,0.024955935496898424
crisis,capital,2,0.18960424978075274,0.16013240058534123,-0.029471849195411515
crisis,asset_quality,1,0.18960424978075274,0.203655960185693,0.01405171040494027
crisis,growth_levels,4,0.18960424978075274,0.21212540192532686,0.02252115214457412
crisis,intrayear,14,0.18960424978075274,0.22151324164936537,0.031908991868612624
crisis,macro,3,0.18960424978075274,0.20401666211110167,0.014412412330348928
growth,profitability,2,0.1970210644645956,0.1966139540905512,-0.0004071103740443949
growth,capital,2,0.1970210644645956,0.20073537925593626,0.003714314791340656
growth,asset_quality,1,0.1970210644645956,0.19247878759484563,-0.004542276869749978
growth,growth_levels,2,0.1970210644645956,0.19294112388506335,-0.00407994057953226
growth,intrayear,4,0.1970210644645956,0.18861646885283162,-0.008404595611763988
growth,macro,3,0.1970210644645956,0.1804070899728608,-0.016613974491734795
