family,label,rank,feature,mean_abs_shap
xgb,crisis,1,npl_ratio,0.747062623500824
xgb,crisis,2,roa,0.5584920644760132
xgb,crisis,3,roe,0.5532523393630981
xgb,crisis,4,gdp,0.5454601645469666
xgb,crisis,5,capital_ratio,0.5398637056350708
xgb,crisis,6,num_employees,0.4798687696456909
xgb,crisis,7,age,0.41658854484558105
xgb,crisis,8,roa_sd_3y,0.28578099608421326
xgb,crisis,9,prop_ln_cons,0.2631751596927643
xgb,crisis,10,real_int_rate,0.18375639617443085
xgb,crisis,11,loans_sd_3y,0.18248677253723145
xgb,crisis,12,nim,0.17976900935173035
xgb,crisis,13,equity_sd_intra,0.16875816881656647
xgb,crisis,14,roe_chg,0.1636674851179123
xgb,crisis,15,assets_sd_3y,0.15143683552742004
xgb,crisis,16,prop_demand_dep,0.1480657458305359
xgb,crisis,17,prop_ln_agr,0.11287741363048553
xgb,crisis,18,equity_max_decline,0.11223643273115158
xgb,crisis,19,asset_growth,0.10059034079313278
xgb,crisis,20,deposit_growth,0.09861817955970764
xgb,crisis,21,deposits_sd_3y,0.09538451582193375
xgb,crisis,22,equity_growth,0.09183017164468765
xgb,crisis,23,prop_ln_re,0.08510921150445938
xgb,crisis,24,capital_ratio_chg,0.07883089780807495
xgb,crisis,25,nim_chg,0.07575170695781708
xgb,crisis,26,loan_growth,0.07304595410823822
xgb,crisis,27,deposits_max_decline,0.0674450471997261
xgb,crisis,28,assets_sd_intra,0.06660211831331253
xgb,crisis,29,unemployment,0.06575804203748703
xgb,crisis,30,loans_sd_intra,0.06305898725986481
xgb,crisis,31,equity_sd_3y,0.061668168753385544
xgb,crisis,32,assets_max_decline,0.059828151017427444
xgb,crisis,33,loans_max_decline,0.05858471989631653
xgb,crisis,34,roa_chg,0.058206722140312195
xgb,crisis,35,deposits_sd_intra,0.048103753477334976
xgb,crisis,36,inflation,0.04733589291572571
xgb,crisis,37,netinc_sd_3y,0.04494604468345642
xgb,growth,1,roa,0.44934001564979553
xgb,growth,2,capital_ratio,0.3518703579902649
xgb,growth,3,gdp,0.35019606351852417
xgb,growth,4,roa_sd_3y,0.33142030239105225
xgb,growth,5,num_employees,0.24160347878932953
xgb,growth,6,equity_sd_intra,0.21544115245342255
xgb,growth,7,cost_of_funding,0.2145490050315857
xgb,growth,8,roe_chg,0.16791246831417084
xgb,growth,9,unemployment,0.15030314028263092
xgb,growth,10,roe,0.12746557593345642
xgb,growth,11,prop_demand_dep,0.11383946985006332
xgb,growth,12,equity_sd_3y,0.09413733333349228
xgb,growth,13,npl_chg,0.09237457811832428
xgb,growth,14,age,0.0863397866487503
xgb,growth,15,prop_ln_re,0.0841546431183815
xgb,growth,16,equity_max_decline,0.07664617151021957
xgb,growth,17,roa_chg,0.06811416149139404
xgb,growth,18,asset_growth,0.05579462647438049
xgb,growth,19,capital_ratio_chg,0.05512281879782677
xgb,growth,20,real_int_rate,0.05226285010576248
xgb,growth,21,inflation,0.0513421967625618
xgb,growth,22,deposit_growth,0.04924619570374489
xgb,growth,23,prop_ln_cons,0.04397907853126526
xgb,growth,24,prop_ln_ci,0.033002305775880814
xgb,growth,25,prop_ln_cc,0.02614915743470192
xgb,growth,26,npl_ratio,0.024269280955195427
lgbm,crisis,1,gdp,0.7941142229966209
lgbm,crisis,2,equity_sd_intra,0.6667633287229464
lgbm,crisis,3,num_employees,0.5039103432815953
lgbm,crisis,4,age,0.4736292510027414
lgbm,crisis,5,npl_ratio,0.46932001357423314
lgbm,crisis,6,roa,0.4545530348047546
lgbm,crisis,7,capital_ratio,0.37431228563368507
lgbm,crisis,8,prop_ln_cons,0.32259628593038897
