model,label,threshold,f2,precision,recall,brier,n_val
logit,crisis,0.299827836218751,0.9632554687617135,0.8602872254954472,0.9929676783678831,0.12324957478543551,75444
lasso,crisis,1.4729057071749625e-07,0.9205824405641992,0.701793935114141,0.998396476111358,0.42483106077564364,75444
mundlak,crisis,0.1290393908181747,0.9302116228741389,0.7311191928339961,0.9981646413322772,0.12390839751994258,75444
xgb,crisis,0.07127084,0.9713937322880876,0.8799154550258237,0.9973145804756477,0.06319784327943122,75444
lgbm,crisis,0.0381374809488224,0.9783985244062445,0.9204307615248386,0.9940495740035934,0.06273019381546804,75444
rf,crisis,0.190581114494971,0.9818498297702667,0.9523614726664188,0.9895094762465949,0.07884635452790761,75444
gee_independence,crisis,0.0043710525627308,0.9399997083293836,0.7669026443380231,0.996213365275014,0.3892252611417329,75444
logit,growth,0.5935257180589252,0.08682552725280747,0.021809425524595805,0.34086021505376346,0.2656108195712463,75444
lasso,growth,0.592590566830255,0.08705173829728989,0.021863183224475766,0.3419354838709677,0.2652291038689501,75444
mundlak,growth,0.4000609972693384,0.07531326701976489,0.016664284693440046,0.6268817204301075,0.3248173845618911,75444
xgb,growth,0.53962445,0.29583763329893364,0.10317936412717456,0.5548387096774193,0.053958267890059135,75444
lgbm,growth,0.581825955553064,0.29549902152641877,0.11482889733840304,0.4870967741935484,0.05654334912770351,75444
rf,growth,0.327673069013746,0.2523804648305519,0.08152803042831155,0.5301075268817205,0.03376395161784608,75444
gee_independence,growth,0.023450049811271,0.05934861612016195,0.012512928083438943,0.9236559139784947,0.017756304742641803,75444
